venda_id,data,vendedor_id,vendedor_nome,produto_id,produto_nome,categoria,preco_unit,qtd,desconto,canal,cidade,estado,comentarios
20,18-09-2024,3.0,Carlos Pereira,108,Tablet T10,Eletrônicos,1500.0,10.0,0.09,loja_fisica,Curitiba,PR,Iure quibusdam omnis vel voluptatem quis dicta quis explicabo corporis.
21,30-11-2024,,Carlos Pereira,105,Smartphone A9,Eletrônicos,2800.0,9.0,0.11,loja_fisica,Curitiba,PR,Accusantium quam minus impedit quas laborum ipsa dolore modi optio aliquam iure.
22,01-07-2025,3.0,,104,Camisa Polo,Vestuário,120.0,4.0,0.24,loja_fisica,Curitiba,PR,Veniam numquam magnam natus facilis vero ab cum necessitatibus nam ex voluptatibus.
23,15-01-2025,3.0,Carlos Pereira,105,Smartphone A9,Eletrônicos,2800.0,4.0,0.15,loja_fisica,Curitiba,PR,
24,23-08-2024,3.0,Carlos Pereira,108,Tablet T10,Eletrônicos,1500.0,6.0,0.08,loja_fisica,Curitiba,PR,
25,17-08-2024,1.0,João Silva,103,Tênis Corrida,Calçados,350.0,10.0,0.04,loja_fisica,São Paulo,SP,
26,01-08-2024,2.0,Maria Souza,109,Liquidificador X,Eletrodomésticos,300.0,3.0,0.22,loja_fisica,Rio de Janeiro,RJ,
27,25-12-2024,2.0,Maria Souza,109,Liquidificador X,Eletrodomésticos,300.0,3.0,0.29,loja_fisica,Rio de Janeiro,RJ,
28,17-12-2024,1.0,João Silva,103,Tênis Corrida,Calçados,350.0,3.0,0.16,loja_fisica,São Paulo,SP,
29,09-06-2025,1.0,João Silva,110,Fone Bluetooth B1,Eletrônicos,200.0,6.0,0.24,loja_fisica,São Paulo,SP,Commodi atque commodi mollitia officia veritatis reiciendis atque consequatur cupiditate incidunt esse nulla maxime voluptatem.
30,19-04-2025,,,102,Cafeteira 20L,Eletrodomésticos,600.0,5.0,0.26,loja_fisica,Belo Horizonte,MG,
31,22-02-2025,1.0,João Silva,103,Tênis Corrida,Calçados,350.0,4.0,0.1,loja_fisica,São Paulo,SP,Tempore tempore occaecati id nulla sequi numquam vel distinctio labore.
32,12-09-2024,5.0,Fernando Costa,106,Headset Gamer H1,Eletrônicos,450.0,3.0,0.02,loja_fisica,Belo Horizonte,MG,
33,19-09-2024,,,102,Cafeteira 20L,Eletrodomésticos,600.0,9.0,0.03,ecommerce,Rezende de Ribeiro,CE,
34,26-06-2025,2.0,Maria Souza,104,Camisa Polo,Vestuário,120.0,3.0,0.04,loja_fisica,Rio de Janeiro,RJ,Magni iusto porro odit quaerat assumenda quia quibusdam atque quibusdam animi cumque natus ratione deserunt necessitatibus molestiae expedita aspernatur modi dolores.
35,16-03-2025,5.0,Fernando Costa,108,Tablet T10,Eletrônicos,1500.0,1.0,0.16,loja_fisica,Belo Horizonte,MG,Odit pariatur unde tenetur ipsa ratione molestiae enim ea culpa hic autem dicta sed sapiente aspernatur non quaerat ab.
36,24-03-2025,3.0,Carlos Pereira,108,Tablet T10,Eletrônicos,1500.0,4.0,0.2,loja_fisica,Curitiba,PR,
37,15-02-2025,3.0,,105,Smartphone A9,Eletrônicos,2800.0,1.0,0.08,loja_fisica,Curitiba,PR,
38,15-08-2024,3.0,Carlos Pereira,106,Headset Gamer H1,Eletrônicos,450.0,3.0,0.13,loja_fisica,Curitiba,PR,Magnam veniam blanditiis at et nihil accusamus dolor odio libero doloribus nesciunt enim consequuntur possimus perferendis quod commodi ab dolor veniam libero dolorum deserunt corrupti.
39,11-05-2025,5.0,Fernando Costa,110,Fone Bluetooth B1,Eletrônicos,200.0,6.0,0.25,loja_fisica,Belo Horizonte,MG,Ut error explicabo eveniet voluptate exercitationem sint laboriosam occaecati neque non voluptas minus quaerat corrupti exercitationem maxime odit ipsam.
40,09-07-2025,5.0,Fernando Costa,101,Notebook X1,Eletrônicos,3500.0,7.0,0.18,loja_fisica,Belo Horizonte,MG,
41,26-07-2025,,,107,Jaqueta Esportiva,Vestuário,250.0,4.0,0.08,ecommerce,Rezende dos Dourados,PR,Iusto similique ut maxime sit dolor architecto praesentium.
42,21-11-2024,,,108,Tablet T10,Eletrônicos,1500.0,4.0,,ecommerce,Barbosa,PR,Incidunt debitis soluta aspernatur assumenda exercitationem sequi deserunt reprehenderit incidunt est.
43,05-05-2025,4.0,Ana Oliveira,106,Headset Gamer H1,Eletrônicos,450.0,4.0,0.16,loja_fisica,Salvador,BA,
44,10-10-2024,2.0,Maria Souza,109,Liquidificador X,Eletrodomésticos,300.0,4.0,0.15,loja_fisica,Rio de Janeiro,RJ,
45,29-10-2024,4.0,Ana Oliveira,107,Jaqueta Esportiva,Vestuário,250.0,1.0,0.14,loja_fisica,Salvador,BA,
46,31-05-2025,1.0,João Silva,103,Tênis Corrida,Calçados,350.0,10.0,0.15,loja_fisica,São Paulo,SP,Aliquam cupiditate ullam debitis blanditiis fuga ipsam nihil ducimus voluptates temporibus porro ea.
47,24-04-2025,5.0,Fernando Costa,105,Smartphone A9,Eletrônicos,2800.0,10.0,0.29,loja_fisica,Belo Horizonte,MG,
48,25-04-2025,2.0,Maria Souza,107,Jaqueta Esportiva,Vestuário,250.0,8.0,0.27,loja_fisica,Rio de Janeiro,RJ,Explicabo reiciendis reiciendis ab ullam maxime culpa quasi omnis.
49,25-10-2024,3.0,Carlos Pereira,103,Tênis Corrida,Calçados,350.0,7.0,0.17,loja_fisica,Curitiba,PR,Amet labore reprehenderit facilis illo error neque laboriosam odio eligendi.
50,13-05-2025,,João Silva,101,Notebook X1,Eletrônicos,,10.0,0.27,loja_fisica,São Paulo,SP,Ea iusto numquam mollitia quae optio optio eligendi illum ullam voluptates magnam ipsam.
51,07-01-2025,2.0,Maria Souza,108,Tablet T10,Eletrônicos,1500.0,6.0,0.06,loja_fisica,Rio de Janeiro,RJ,
52,13-12-2024,2.0,Maria Souza,106,Headset Gamer H1,Eletrônicos,450.0,10.0,0.11,loja_fisica,Rio de Janeiro,RJ,Nobis porro maxime doloribus consequatur veniam velit consequatur nostrum asperiores animi recusandae.
53,08-04-2025,3.0,Carlos Pereira,107,Jaqueta Esportiva,Vestuário,250.0,8.0,0.21,loja_fisica,Curitiba,PR,
54,08-03-2025,2.0,Maria Souza,107,Jaqueta Esportiva,Vestuário,,1.0,0.16,loja_fisica,Rio de Janeiro,RJ,
55,14-03-2025,2.0,Maria Souza,105,Smartphone A9,Eletrônicos,2800.0,5.0,0.26,loja_fisica,Rio de Janeiro,RJ,
56,04-10-2024,2.0,Maria Souza,104,Camisa Polo,Vestuário,120.0,7.0,0.19,loja_fisica,Rio de Janeiro,RJ,
57,14-09-2024,1.0,João Silva,104,Camisa Polo,Vestuário,120.0,1.0,0.13,loja_fisica,São Paulo,SP,
58,21-09-2024,,,101,Notebook X1,Eletrônicos,3500.0,8.0,0.15,ecommerce,Alves da Mata,CE,Recusandae numquam aut labore aperiam neque omnis culpa facilis velit totam laborum ipsam inventore voluptatibus esse quas pariatur possimus esse nobis sit harum iste nihil quia.
59,24-12-2024,2.0,Maria Souza,101,Notebook X1,Eletrônicos,3500.0,8.0,0.07,loja_fisica,Rio de Janeiro,RJ,Doloribus accusantium magni perspiciatis necessitatibus sit quasi placeat eius.
60,22-05-2025,1.0,João Silva,107,Jaqueta Esportiva,Vestuário,250.0,10.0,0.24,loja_fisica,São Paulo,SP,
61,01-06-2025,,,105,Smartphone A9,Eletrônicos,2800.0,4.0,0.03,ecommerce,Viana das Pedras,MG,
62,05-03-2025,3.0,Carlos Pereira,109,Liquidificador X,Eletrodomésticos,300.0,4.0,0.05,loja_fisica,Curitiba,PR,
63,29-06-2025,3.0,Carlos Pereira,108,Tablet T10,Eletrônicos,1500.0,5.0,0.23,loja_fisica,Curitiba,PR,
64,29-01-2025,5.0,Fernando Costa,103,Tênis Corrida,Calçados,350.0,9.0,0.1,loja_fisica,Belo Horizonte,MG,
65,11-09-2024,,,109,Liquidificador X,Eletrodomésticos,300.0,6.0,0.11,ecommerce,Ramos da Mata,RN,Omnis hic dignissimos excepturi enim dolores quidem accusantium consequatur expedita ut.
66,21-07-2025,,,104,Camisa Polo,Vestuário,120.0,1.0,0.09,ecommerce,Cunha da Praia,AM,
67,15-01-2025,1.0,,103,Tênis Corrida,Calçados,350.0,8.0,,loja_fisica,São Paulo,SP,
68,14-10-2024,2.0,,102,Cafeteira 20L,Eletrodomésticos,600.0,3.0,0.16,loja_fisica,Rio de Janeiro,RJ,
69,27-02-2025,3.0,Carlos Pereira,108,Tablet T10,Eletrônicos,1500.0,8.0,0.06,loja_fisica,Curitiba,PR,Iusto magni exercitationem mollitia repudiandae ad sequi fugiat atque voluptatum ab facere.
70,01-04-2025,,,106,Headset Gamer H1,Eletrônicos,450.0,5.0,0.14,ecommerce,da Cunha,PA,
71,15-07-2025,4.0,Ana Oliveira,104,Camisa Polo,Vestuário,120.0,6.0,0.14,loja_fisica,Salvador,BA,
72,02-07-2025,2.0,Maria Souza,101,Notebook X1,Eletrônicos,3500.0,5.0,0.11,loja_fisica,Rio de Janeiro,RJ,
73,12-01-2025,2.0,Maria Souza,110,Fone Bluetooth B1,Eletrônicos,200.0,6.0,0.23,loja_fisica,Rio de Janeiro,RJ,
74,24-04-2025,,,101,Notebook X1,Eletrônicos,3500.0,7.0,0.02,ecommerce,Porto,PE,
75,30-12-2024,,,104,Camisa Polo,Vestuário,120.0,10.0,0.1,ecommerce,Duarte do Galho,PB,Quod iure repellendus magni assumenda ut id cupiditate consequuntur labore voluptatibus.
76,16-12-2024,4.0,Ana Oliveira,107,Jaqueta Esportiva,Vestuário,,5.0,0.13,loja_fisica,Salvador,BA,
77,12-02-2025,2.0,,110,Fone Bluetooth B1,Eletrônicos,200.0,3.0,,loja_fisica,Rio de Janeiro,RJ,Quia animi dolorem qui aut aliquam natus deleniti mollitia necessitatibus incidunt similique temporibus asperiores voluptas.
78,12-12-2024,4.0,Ana Oliveira,106,Headset Gamer H1,Eletrônicos,450.0,8.0,0.18,loja_fisica,Salvador,BA,
79,31-12-2024,2.0,Maria Souza,104,Camisa Polo,Vestuário,120.0,6.0,0.02,loja_fisica,Rio de Janeiro,RJ,
80,08-09-2024,3.0,Carlos Pereira,102,Cafeteira 20L,Eletrodomésticos,600.0,4.0,0.23,loja_fisica,Curitiba,PR,Magni sed excepturi deleniti nam iure a porro a consequuntur magnam accusamus iusto voluptate magni a.
81,08-04-2025,,,105,Smartphone A9,Eletrônicos,2800.0,4.0,0.02,ecommerce,Moraes,RS,
82,16-04-2025,5.0,Fernando Costa,107,Jaqueta Esportiva,Vestuário,250.0,6.0,0.3,loja_fisica,Belo Horizonte,MG,
83,11-04-2025,1.0,João Silva,110,Fone Bluetooth B1,Eletrônicos,200.0,2.0,0.05,loja_fisica,São Paulo,SP,
84,13-02-2025,,Ana Oliveira,103,Tênis Corrida,Calçados,350.0,3.0,0.22,loja_fisica,Salvador,BA,
85,01-11-2024,5.0,Fernando Costa,105,Smartphone A9,Eletrônicos,2800.0,9.0,0.07,loja_fisica,Belo Horizonte,MG,
86,10-07-2025,,,110,Fone Bluetooth B1,Eletrônicos,200.0,6.0,0.08,ecommerce,Pacheco,AP,
87,04-08-2024,,,101,Notebook X1,Eletrônicos,3500.0,2.0,0.08,ecommerce,Cirino,AL,Ratione sunt recusandae cupiditate nisi dignissimos quae accusantium voluptatum dolores nulla iure.
88,25-11-2024,,,106,Headset Gamer H1,Eletrônicos,450.0,9.0,0.07,ecommerce,Sousa,RS,
89,28-01-2025,1.0,João Silva,110,Fone Bluetooth B1,Eletrônicos,200.0,5.0,0.19,loja_fisica,São Paulo,SP,
90,02-10-2024,,,108,Tablet T10,Eletrônicos,1500.0,10.0,0.08,ecommerce,Freitas do Sul,AP,
91,20-05-2025,5.0,,106,Headset Gamer H1,Eletrônicos,450.0,10.0,0.19,loja_fisica,Belo Horizonte,MG,
92,06-08-2024,,,101,Notebook X1,Eletrônicos,3500.0,7.0,,ecommerce,,,Incidunt vero laborum excepturi aliquid veniam aperiam ratione unde cum voluptatibus quasi ea sequi culpa perferendis qui.
93,24-05-2025,,João Silva,101,Notebook X1,Eletrônicos,3500.0,10.0,0.08,loja_fisica,São Paulo,SP,Accusamus maiores optio at ipsa facilis fuga eveniet iusto eum error hic fuga consectetur id est tempora aspernatur natus.
94,22-01-2025,,,101,Notebook X1,Eletrônicos,3500.0,2.0,0.09,ecommerce,Azevedo,PB,Possimus rem nesciunt necessitatibus at voluptate magnam blanditiis necessitatibus nisi officia odio dicta cupiditate a.
95,01-08-2024,3.0,Carlos Pereira,102,Cafeteira 20L,Eletrodomésticos,600.0,4.0,0.27,loja_fisica,Curitiba,PR,
96,01-04-2025,5.0,Fernando Costa,107,Jaqueta Esportiva,Vestuário,250.0,10.0,0.26,loja_fisica,Belo Horizonte,MG,Ullam a earum corporis repudiandae quibusdam eaque et nihil nulla deleniti tenetur recusandae suscipit ratione esse ad.
97,12-03-2025,3.0,Carlos Pereira,105,Smartphone A9,Eletrônicos,2800.0,6.0,,loja_fisica,Curitiba,PR,Officia libero eligendi fuga eum perferendis minima quo quis delectus nemo.
98,22-02-2025,5.0,Fernando Costa,104,Camisa Polo,Vestuário,120.0,6.0,0.01,loja_fisica,Belo Horizonte,MG,
99,12-05-2025,4.0,Ana Oliveira,108,Tablet T10,Eletrônicos,1500.0,2.0,0.11,loja_fisica,Salvador,BA,Mollitia ipsa non aperiam fuga consequatur explicabo sunt quidem natus hic accusamus.
100,05-11-2024,,,101,Notebook X1,Eletrônicos,3500.0,2.0,0.03,ecommerce,Cassiano,PI,
101,26-01-2025,,,109,Liquidificador X,Eletrodomésticos,300.0,9.0,0.07,ecommerce,Rocha,RR,
102,31-05-2025,,Maria Souza,105,Smartphone A9,Eletrônicos,2800.0,7.0,0.22,loja_fisica,Rio de Janeiro,RJ,Nemo fugit quidem soluta tempore tenetur laborum corrupti veniam deserunt asperiores earum explicabo.
103,08-03-2025,4.0,Ana Oliveira,102,Cafeteira 20L,Eletrodomésticos,600.0,3.0,0.18,loja_fisica,Salvador,BA,
104,04-07-2025,1.0,João Silva,105,Smartphone A9,Eletrônicos,2800.0,3.0,0.17,loja_fisica,São Paulo,SP,
105,09-03-2025,4.0,Ana Oliveira,110,Fone Bluetooth B1,Eletrônicos,200.0,,0.13,loja_fisica,Salvador,BA,Perferendis ab tempora distinctio neque ipsum molestias in nisi magnam dolor facilis odio corrupti vel.
106,13-03-2025,2.0,Maria Souza,104,Camisa Polo,Vestuário,120.0,4.0,0.11,loja_fisica,Rio de Janeiro,RJ,
107,27-01-2025,2.0,Maria Souza,107,Jaqueta Esportiva,Vestuário,250.0,8.0,0.29,loja_fisica,Rio de Janeiro,RJ,
108,22-09-2024,5.0,,108,Tablet T10,Eletrônicos,1500.0,9.0,0.12,loja_fisica,Belo Horizonte,MG,
109,19-07-2025,5.0,Fernando Costa,108,Tablet T10,Eletrônicos,1500.0,4.0,0.14,loja_fisica,Belo Horizonte,MG,Rerum mollitia quod rerum alias dolorum corrupti quibusdam reiciendis hic occaecati est dicta voluptate aliquid.
110,09-01-2025,,,110,Fone Bluetooth B1,Eletrônicos,200.0,5.0,,ecommerce,Melo do Norte,MG,
111,20-04-2025,4.0,Ana Oliveira,104,Camisa Polo,Vestuário,120.0,2.0,0.14,loja_fisica,Salvador,BA,Suscipit reprehenderit aspernatur asperiores dicta neque voluptate.
112,01-12-2024,5.0,Fernando Costa,108,Tablet T10,Eletrônicos,1500.0,9.0,0.27,loja_fisica,Belo Horizonte,MG,Quos adipisci dolore rerum illum quod fugit corrupti possimus est odio laboriosam delectus asperiores odio.
113,13-08-2024,5.0,Fernando Costa,107,Jaqueta Esportiva,Vestuário,250.0,7.0,0.0,loja_fisica,Belo Horizonte,MG,
114,02-05-2025,4.0,Ana Oliveira,107,Jaqueta Esportiva,Vestuário,250.0,6.0,0.19,loja_fisica,Salvador,BA,Hic soluta veniam voluptatibus ab doloremque ad expedita quis perferendis vitae repellendus sequi.
115,08-01-2025,,,108,Tablet T10,Eletrônicos,1500.0,10.0,0.07,ecommerce,da Mata do Sul,MG,
116,10-10-2024,1.0,João Silva,107,Jaqueta Esportiva,Vestuário,250.0,5.0,0.17,loja_fisica,São Paulo,SP,
117,01-09-2024,,João Silva,110,Fone Bluetooth B1,Eletrônicos,200.0,7.0,0.14,loja_fisica,São Paulo,SP,Architecto corrupti ratione laboriosam voluptas harum aspernatur doloremque laudantium assumenda reprehenderit tempore odit ea praesentium praesentium commodi quod eaque harum.
118,28-01-2025,4.0,Ana Oliveira,101,Notebook X1,Eletrônicos,3500.0,7.0,0.09,loja_fisica,Salvador,BA,
119,28-05-2025,,,110,Fone Bluetooth B1,Eletrônicos,200.0,10.0,0.01,ecommerce,Rocha,DF,
120,03-08-2024,3.0,Carlos Pereira,108,Tablet T10,Eletrônicos,1500.0,2.0,0.0,loja_fisica,Curitiba,PR,
121,25-04-2025,2.0,Maria Souza,108,Tablet T10,Eletrônicos,1500.0,8.0,0.14,loja_fisica,Rio de Janeiro,RJ,Sed culpa iste ea animi minima assumenda atque suscipit animi fuga fuga optio nobis nihil.
122,22-01-2025,3.0,Carlos Pereira,105,Smartphone A9,Eletrônicos,2800.0,6.0,0.06,loja_fisica,Curitiba,PR,Cupiditate quasi commodi numquam alias in numquam tempora eum quo modi molestias corporis totam.
123,09-08-2024,5.0,Fernando Costa,107,Jaqueta Esportiva,Vestuário,250.0,1.0,0.04,loja_fisica,Belo Horizonte,MG,
124,17-03-2025,4.0,Ana Oliveira,108,Tablet T10,Eletrônicos,1500.0,7.0,,loja_fisica,Salvador,BA,Quisquam asperiores saepe nisi doloribus modi veniam facere adipisci nihil reprehenderit.
125,24-03-2025,3.0,Carlos Pereira,102,Cafeteira 20L,Eletrodomésticos,600.0,9.0,0.02,loja_fisica,Curitiba,PR,
126,03-04-2025,1.0,João Silva,101,Notebook X1,Eletrônicos,3500.0,9.0,0.12,loja_fisica,São Paulo,SP,
127,10-12-2024,3.0,Carlos Pereira,109,Liquidificador X,Eletrodomésticos,300.0,7.0,0.12,loja_fisica,Curitiba,PR,
128,08-10-2024,2.0,Maria Souza,103,Tênis Corrida,Calçados,350.0,7.0,0.24,loja_fisica,Rio de Janeiro,RJ,
129,05-07-2025,,,104,Camisa Polo,Vestuário,120.0,9.0,0.14,ecommerce,Câmara,RJ,
130,18-07-2025,5.0,Fernando Costa,108,Tablet T10,Eletrônicos,1500.0,3.0,0.23,loja_fisica,Belo Horizonte,MG,Consequatur magni eos eligendi alias et animi dignissimos amet excepturi optio dolor saepe consequuntur veritatis.
131,23-12-2024,,,103,Tênis Corrida,Calçados,350.0,3.0,0.0,ecommerce,Câmara das Flores,CE,
132,08-12-2024,,,110,Fone Bluetooth B1,Eletrônicos,200.0,6.0,0.13,ecommerce,Farias da Mata,PR,
133,10-11-2024,,,108,Tablet T10,Eletrônicos,1500.0,3.0,0.01,ecommerce,Pacheco Alegre,RS,
134,25-08-2024,,Maria Souza,110,Fone Bluetooth B1,Eletrônicos,200.0,1.0,0.02,loja_fisica,Rio de Janeiro,RJ,
135,18-03-2025,2.0,Maria Souza,108,Tablet T10,Eletrônicos,1500.0,10.0,0.26,loja_fisica,Rio de Janeiro,RJ,Ex repellat tempore dicta consectetur quasi dignissimos at ratione laborum aliquam delectus reprehenderit quae explicabo maiores consequatur architecto nihil at veniam est debitis vero quibusdam repellat.
136,30-05-2025,2.0,Maria Souza,107,Jaqueta Esportiva,Vestuário,250.0,9.0,,loja_fisica,Rio de Janeiro,RJ,
137,21-03-2025,,Maria Souza,104,Camisa Polo,Vestuário,120.0,5.0,0.25,loja_fisica,Rio de Janeiro,RJ,
138,06-02-2025,1.0,João Silva,103,Tênis Corrida,Calçados,350.0,8.0,0.16,loja_fisica,São Paulo,SP,
139,07-10-2024,2.0,Maria Souza,103,Tênis Corrida,Calçados,350.0,7.0,0.06,loja_fisica,Rio de Janeiro,RJ,Beatae ipsum distinctio alias animi cumque ratione perspiciatis laborum at.
140,26-09-2024,1.0,João Silva,107,Jaqueta Esportiva,Vestuário,250.0,1.0,0.14,loja_fisica,São Paulo,SP,Vel reprehenderit veritatis iusto eius cum similique ut corporis accusantium quae quasi occaecati cum repellendus quaerat placeat.
141,19-12-2024,3.0,Carlos Pereira,109,Liquidificador X,Eletrodomésticos,300.0,6.0,0.05,loja_fisica,Curitiba,PR,Cum nemo autem adipisci nulla similique ab nemo odio eveniet.
142,10-12-2024,2.0,Maria Souza,108,Tablet T10,Eletrônicos,1500.0,1.0,0.07,loja_fisica,Rio de Janeiro,RJ,Nostrum distinctio esse sequi modi ex aliquam temporibus exercitationem ducimus.
143,05-12-2024,4.0,Ana Oliveira,106,Headset Gamer H1,Eletrônicos,450.0,10.0,,loja_fisica,Salvador,BA,Quaerat quidem culpa voluptatem saepe dicta molestias nobis officiis occaecati praesentium consequatur nihil eligendi nesciunt rem tempore minima facilis unde.
144,21-06-2025,3.0,Carlos Pereira,102,Cafeteira 20L,Eletrodomésticos,600.0,6.0,0.29,loja_fisica,Curitiba,PR,Quo sint delectus repellat illum quos consequuntur corporis repudiandae consequatur quisquam fugiat in nihil ratione laudantium totam quia architecto sapiente.
145,21-08-2024,1.0,João Silva,101,Notebook X1,Eletrônicos,3500.0,1.0,0.0,loja_fisica,São Paulo,SP,
146,17-03-2025,3.0,Carlos Pereira,105,Smartphone A9,Eletrônicos,2800.0,7.0,0.1,loja_fisica,Curitiba,PR,
147,25-12-2024,,,109,Liquidificador X,Eletrodomésticos,300.0,8.0,0.09,ecommerce,das Neves,SE,
148,09-10-2024,4.0,Ana Oliveira,105,Smartphone A9,Eletrônicos,2800.0,4.0,0.0,loja_fisica,Salvador,BA,Saepe enim ratione deserunt dignissimos magni ex asperiores repellendus voluptas possimus assumenda sunt placeat.
149,30-10-2024,,,107,Jaqueta Esportiva,Vestuário,250.0,1.0,0.04,ecommerce,Ferreira,AL,
150,22-08-2024,,,102,Cafeteira 20L,Eletrodomésticos,600.0,10.0,0.01,ecommerce,Aparecida dos Dourados,DF,
151,18-07-2025,,,107,Jaqueta Esportiva,Vestuário,250.0,8.0,,ecommerce,Brito da Serra,SC,
152,27-01-2025,4.0,Ana Oliveira,104,Camisa Polo,Vestuário,120.0,9.0,0.2,loja_fisica,Salvador,BA,Consequuntur fuga a nihil facilis ipsam ex possimus voluptate amet.
153,08-12-2024,1.0,João Silva,108,Tablet T10,Eletrônicos,1500.0,10.0,0.06,loja_fisica,São Paulo,SP,
154,09-05-2025,,,107,Jaqueta Esportiva,Vestuário,250.0,7.0,0.08,ecommerce,Fogaça de Goiás,AP,
155,17-04-2025,5.0,Fernando Costa,103,Tênis Corrida,Calçados,350.0,10.0,0.03,loja_fisica,Belo Horizonte,MG,
156,18-12-2024,1.0,João Silva,106,Headset Gamer H1,Eletrônicos,450.0,8.0,0.25,loja_fisica,São Paulo,SP,Odit deserunt tenetur facilis officiis illum porro saepe cum aperiam veritatis quae porro sint.
157,17-12-2024,,,106,Headset Gamer H1,Eletrônicos,450.0,2.0,0.07,ecommerce,,,
158,23-10-2024,,,108,Tablet T10,Eletrônicos,1500.0,6.0,0.07,ecommerce,Gomes Alegre,AL,
159,02-02-2025,,Fernando Costa,110,Fone Bluetooth B1,Eletrônicos,200.0,9.0,0.25,loja_fisica,Belo Horizonte,MG,
160,21-03-2025,3.0,Carlos Pereira,107,Jaqueta Esportiva,Vestuário,250.0,8.0,0.26,loja_fisica,Curitiba,PR,Assumenda ea perspiciatis amet incidunt repellat consequuntur harum.
161,03-06-2025,5.0,Fernando Costa,101,Notebook X1,Eletrônicos,3500.0,7.0,0.27,loja_fisica,Belo Horizonte,MG,
162,08-05-2025,,,107,Jaqueta Esportiva,Vestuário,250.0,10.0,0.01,ecommerce,Câmara de Câmara,SE,
163,28-05-2025,1.0,João Silva,107,Jaqueta Esportiva,Vestuário,250.0,6.0,0.2,loja_fisica,São Paulo,SP,
164,22-07-2025,,,103,Tênis Corrida,Calçados,350.0,,0.01,ecommerce,da Conceição de Melo,PE,
165,23-07-2025,3.0,Carlos Pereira,110,Fone Bluetooth B1,Eletrônicos,200.0,6.0,0.05,loja_fisica,Curitiba,PR,
